Entity,Date,Monthly pH measurement
World,2010-04-07,8.0755
World,2010-05-19,8.0758
World,2010-06-09,8.0762
World,2010-07-09,8.0763
World,2010-08-08,8.0774
World,2010-09-04,8.0784
World,2010-10-04,8.0793
World,2010-11-21,8.0798
World,2011-01-29,8.0794
World,2011-03-01,8.0792
World,2011-04-12,8.0785
World,2011-05-10,8.078
World,2011-07-20,8.0781
World,2011-08-30,8.0776
World,2011-09-27,8.0776
World,2011-11-05,8.0775
World,2011-11-29,8.0777
World,2011-12-20,8.0779
World,2012-01-19,8.0781
World,2012-03-25,8.0779
World,2012-05-02,8.0776
World,2012-05-31,8.0774
World,2012-06-27,8.077
World,2012-08-01,8.0761
World,2012-08-18,8.0752
World,2012-09-15,8.0736
World,2012-10-08,8.0729
World,2012-12-04,8.0718
World,2013-02-13,8.07
World,2013-03-07,8.0697
World,2013-04-06,8.0691
World,2013-05-18,8.0678
World,2013-06-26,8.0664
World,2013-09-12,8.0661
World,2013-10-02,8.0664
World,2013-10-28,8.0664
World,2013-11-27,8.0663
World,2013-12-21,8.0668
World,2014-01-16,8.0673
World,2014-02-15,8.0678
World,2014-03-06,8.0678
World,2014-04-11,8.0679
World,2014-06-01,8.07
World,2014-07-01,8.0708
World,2014-09-15,8.0702
World,2014-10-14,8.0692
World,2014-11-22,8.0692
World,2014-12-17,8.0689
World,2015-02-25,8.0675
World,2015-03-29,8.0671
World,2015-04-22,8.0668
World,2015-05-24,8.0667
World,2015-06-20,8.0663
World,2015-07-20,8.0655
World,2015-08-13,8.0653
World,2015-10-14,8.0674
World,2015-11-14,8.0679
World,2015-12-09,8.0678
World,2016-01-13,8.068
World,2016-02-10,8.0683
World,2016-03-09,8.0687
World,2016-04-15,8.0689
World,2016-05-29,8.0679
World,2016-07-12,8.0683
World,2016-08-10,8.0692
World,2016-10-16,8.0686
World,2016-11-27,8.0681
World,2017-01-24,8.0669
World,2017-02-23,8.0661
World,2017-03-29,8.0655
World,2017-04-26,8.065
World,2017-05-24,8.0646
World,2017-06-21,8.0641
World,2017-08-09,8.063
World,2017-10-07,8.0621
World,2017-11-09,8.062
World,2017-12-13,8.0625
World,2018-02-26,8.0646
World,2018-04-18,8.0654
World,2018-05-16,8.0665
World,2018-06-27,8.0673
World,2018-07-25,8.0676
World,2018-09-11,8.0673
World,2018-10-13,8.0671
World,2018-11-17,8.0671
World,2019-01-16,8.065
World,2019-02-20,8.0643
World,2019-05-03,8.0616
World,2019-06-12,8.0594
World,2019-07-02,8.0587
World,2019-08-03,8.0576
World,2019-09-05,8.0563
World,2019-10-18,8.0551
World,2019-12-19,8.0537
World,2020-01-08,8.0535
World,2020-01-31,8.053
World,2020-07-16,8.0492
World,2020-08-08,8.0493
World,2020-09-01,8.0501
World,2020-09-27,8.0511
World,2020-11-19,8.0513
World,2020-12-19,8.0517
World,2021-01-13,8.0519
World,2021-02-17,8.0523
World,2021-03-24,8.0533
World,2021-04-14,8.0543
World,2021-05-17,8.0556
World,2021-06-23,8.056
World,2021-07-17,8.0558
World,2021-10-29,8.0549
World,2021-12-05,8.0539
